method,silhouette_score,davies_bouldin_index,calinski_harabasz_index
K-Means,0.3371354802085806,1.602699454241425,3618.6813439235675
DBSCAN,0.876551271821051,0.2117762440553428,2716.7297599811577
Birch,0.318943681951914,1.6795986731366082,3368.503518601152
