mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__max_iter,param_classifier__penalty,param_classifier__solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.06448140144348144,0.007740276807685333,0.008334827423095704,0.004124627122688877,0.01,500,l2,lbfgs,"{'classifier__C': 0.01, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.6386224934612031,0.6272885789014822,0.6285963382737576,0.6290322580645161,0.6293065852594854,0.6305692507920889,0.0040857454702485935,23
0.9645578384399414,0.056187242943961185,0.010161781311035156,0.004995526328827237,0.01,500,l2,saga,"{'classifier__C': 0.01, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6377506538796861,0.6299040976460332,0.6307759372275501,0.6281604184829991,0.6284343654600959,0.6310050945392729,0.0035062261168138926,21
0.5935997009277344,0.05931498967709274,0.006348991394042968,0.000983972541165911,0.01,500,l2,sag,"{'classifier__C': 0.01, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.6381865736704446,0.6285963382737576,0.6299040976460332,0.6290322580645161,0.6306149149585696,0.6312668365226642,0.003529581361833671,19
0.0661318302154541,0.005087996731512342,0.006171035766601563,0.0005463577894037939,0.01,1000,l2,lbfgs,"{'classifier__C': 0.01, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.6386224934612031,0.6272885789014822,0.6285963382737576,0.6290322580645161,0.6293065852594854,0.6305692507920889,0.0040857454702485935,23
0.9375144481658936,0.0686860761348827,0.007320880889892578,0.002512067088650436,0.01,1000,l2,saga,"{'classifier__C': 0.01, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6377506538796861,0.6299040976460332,0.6307759372275501,0.6281604184829991,0.6284343654600959,0.6310050945392729,0.0035062261168138926,21
0.5979562759399414,0.04508373851405369,0.006955194473266602,0.0014513845738969857,0.01,1000,l2,sag,"{'classifier__C': 0.01, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.6381865736704446,0.6285963382737576,0.6299040976460332,0.6290322580645161,0.6306149149585696,0.6312668365226642,0.003529581361833671,19
0.11757197380065917,0.007492466593411027,0.011223888397216797,0.003170298558224032,0.1,500,l2,lbfgs,"{'classifier__C': 0.1, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.6830863121185702,0.6774193548387096,0.6765475152571927,0.6791630340017437,0.6729175752289577,0.6778267582890348,0.0033271927473279227,13
0.17314753532409669,0.0158874695056452,0.010546636581420899,0.002452205152071567,0.1,500,l2,saga,"{'classifier__C': 0.1, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6843940714908456,0.6769834350479512,0.6734960767218832,0.6778552746294682,0.6746620148277366,0.677478174543577,0.003794850743710798,15
1.0819338321685792,0.02141447033018471,0.007652711868286133,0.003256075146371973,0.1,500,l2,sag,"{'classifier__C': 0.1, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.6843940714908456,0.6778552746294682,0.6739319965126417,0.6769834350479512,0.6737897950283471,0.6773909145418507,0.0038563727196550927,17
0.10777702331542968,0.014907433883755898,0.008628559112548829,0.0027551056367564916,0.1,1000,l2,lbfgs,"{'classifier__C': 0.1, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.6830863121185702,0.6774193548387096,0.6765475152571927,0.6791630340017437,0.6729175752289577,0.6778267582890348,0.0033271927473279227,13
0.16689305305480956,0.019730031185362047,0.011186695098876953,0.003831776842394723,0.1,1000,l2,saga,"{'classifier__C': 0.1, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.6843940714908456,0.6769834350479512,0.6734960767218832,0.6778552746294682,0.6746620148277366,0.677478174543577,0.003794850743710798,15
1.1227944374084473,0.09154917888162278,0.011403846740722656,0.0031413441445753126,0.1,1000,l2,sag,"{'classifier__C': 0.1, 'classifier__max_iter': 1000, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.6843940714908456,0.6778552746294682,0.6739319965126417,0.6769834350479512,0.6737897950283471,0.6773909145418507,0.0038563727196550927,17
0.2601527214050293,0.004222148241435386,0.009222269058227539,0.00390563528455351,1.0,500,l2,lbfgs,"{'classifier__C': 1, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'lbfgs'}",0.7249346120313862,0.7223190932868352,0.7210113339145597,0.7210113339145597,0.7104230266027038,0.719939879950009,0.004969396935188144,9
1.0030551910400392,0.06391879316859442,0.009772300720214844,0.003223933264973327,1.0,500,l2,saga,"{'classifier__C': 1, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.7244986922406277,0.7227550130775937,0.7210113339145597,0.7201394943330427,0.7108591365023986,0.7198527340136446,0.004739568187448743,11
0.5866426944732666,0.06022847583377173,0.009446525573730468,0.003399616094376391,1.0,500,l2,sag,"{'classifier__C': 1, 'classifier__max_iter': 500, 'classifier__penalty': 'l2', 'classifier__solver': 'sag'}",0.7249346120313862,0.7236268526591108,0.7210113339145597,0.7205754141238012,0.7112952464020933,0.7202886918261903,0.004779422018602947,7
